"We can't get the order instance right now.","Δεν μπορούμε να λάβουμε το instance της παραγγελίας αυτήν τη στιγμή."
"Rejection for Order #%1","Απόρριψη για την παραγγελία #%1"
"Paid Amount","Πληρωμένο ποσό"
"Order Grand Total","Παραγγελία Grand Total"
"Submit Rejection","Υποβολή Απόρριψης"
"Total Paid","Συνολική πληρωμή"
"Order # %1 %2 | %3","Παραγγελία # %1 %2 | %3"
"Accept","Αποδοχή"
"Reject","Απόρριψη"
"Ready to be shipped","Έτοιμο για αποστολή"
"Are you sure? You are going to accept the shopflix Order .","Είστε σίγουρος? Θα αποδεχτείτε την παραγγελία του shopflix."
"Submit Comment","Υποβολή σχόλιου"
"Please correct the parent block for this block.","Διορθώστε το γονικό μπλοκ για αυτό το μπλοκ."
"Invalid parent block for this block","Μη έγκυρο γονικό μπλοκ για αυτό το μπλοκ"
"Comments History","Ιστορικό σχολίων"
"Order History","Ιστορικό παραγγελιών"
"Information","Πληροφορίες"
"Order Information","Πληροφορίες Παραγγελίας"
"Order View","Προβολή παραγγελίας"
"Subtotal","Μερικό Σύνολο"
"Discount","Έκπτωση"
"Total","Σύνολο"
"ShopFlix","Αγορά"
"Order","Σειρά"
"This order no longer exists.","Αυτή η παραγγελία δεν υπάρχει πλέον."
"You have not accept the item.","Δεν έχετε αποδεχτεί το στοιχείο."
"You accepted the order.","Αποδεχτήκατε την παραγγελία."
"You have not accepted the item.","Δεν έχετε αποδεχτεί το στοιχείο."
"The comment is missing. Enter and try again.","Το σχόλιο λείπει. Εισαγάγετε και δοκιμάστε ξανά."
"We cannot add order history.","Δεν μπορούμε να προσθέσουμε ιστορικό παραγγελιών."
"SHOPFLIX Order","Παραγγελία στην αγορά"
"%1 order(s) cannot be ready to be shipped.","%1 παραγγελίες δεν μπορούν να είναι έτοιμες για αποστολή."
"You cannot ready to be shipped the order(s).","Δεν μπορείτε να είστε έτοιμοι για αποστολή των παραγγελιών."
"We changed the status to Ready to be shipped %1 order(s).","Αλλάξαμε την κατάσταση σε Έτοιμο για αποστολή %1 παραγγελία (ες)."
"You have not change the status to ready to be shipped.","Δεν έχετε αλλάξει την κατάσταση σε έτοιμο για αποστολή."
"You change the status to ready to be shipped.","Αλλάζετε την κατάσταση σε έτοιμο για αποστολή."
"You have not change the status to ready to be shipped","Δεν έχετε αλλάξει την κατάσταση σε έτοιμο για αποστολή"
"The order can not rejected","Η παραγγελία δεν μπορεί να απορριφθεί"
"Reject Order","Απόρριψη παραγγελίας"
"You rejected the order.","Απορρίψατε την παραγγελία."
"Exception occurred during order load","Η εξαίρεση προέκυψε κατά τη φόρτωση της παραγγελίας"
"Order loading error","Σφάλμα φόρτωσης παραγγελίας"
"SHOPFLIX Order %1 has %2","Παραγγελία SHOPFLIX %1 έχει %2"
"Order Accepted","Η παραγγελία έγινε αποδεκτή"
"We cannot accept this order.","Δεν μπορούμε να δεχτούμε αυτήν την παραγγελία."
"We cannot reject this order.","Δεν μπορούμε να απορρίψουμε αυτήν την εντολή."
"Ordered is ready to be shipped","Η παραγγελία είναι έτοιμη για αποστολή"
"An ID is needed. Set the ID and try again.","Απαιτείται ταυτότητα. Ορίστε το αναγνωριστικό και δοκιμάστε ξανά."
"The entity that was requested doesn't exist. Verify the entity and try again.","Η οντότητα που ζητήθηκε δεν υπάρχει. Επαληθεύστε την οντότητα και δοκιμάστε ξανά."
"The order address couldn't be saved.","Δεν ήταν δυνατή η αποθήκευση της διεύθυνσης παραγγελίας."
"The order address couldn't be deleted.","Δεν ήταν δυνατή η διαγραφή της διεύθυνσης παραγγελίας."
"Accepted","Αποδεκτό"
"Picking","Συλλογή"
"Pending Acceptance","Εκκρεμεί αποδοχή"
"Rejected","Απορρίφθηκε"
"Default","Προκαθορισμένο"
"Could not delete the order status history.","Δεν ήταν δυνατή η διαγραφή του ιστορικού κατάστασης παραγγελίας."
"Could not save the order status history.","Δεν ήταν δυνατή η αποθήκευση του ιστορικού κατάστασης παραγγελίας."
"Unable to find shopflix order with id ""%1""","Δεν είναι δυνατή η εύρεση παραγγελίας αγοράς με αναγνωριστικό ""%1"""
"Unable to find shopflix order with increment id ""%1""","Δεν είναι δυνατή η εύρεση παραγγελίας αγοράς με αναγνωριστικό προσαύξησης ""%1"""
"We cannot determine the field name.","Δεν μπορούμε να καθορίσουμε το όνομα του πεδίου."
"City","Πόλη"
"Company","Εταιρία"
"Country","Χώρα"
"Email","Ηλεκτρονική Διεύθυνση"
"First Name","Όνομα"
"Last Name","Επίθετο"
"State/Province","Πολιτεία/Επαρχία"
"Street Address","Διεύθυνση"
"Phone Number","Τηλεφωνικό νούμερο"
"Zip/Postal Code","Ταχυδρομικός κώδικας"
"We can't save the address:\n%1","Δεν μπορούμε να αποθηκεύσουμε τη διεύθυνση: \ n%1"
"Cannot save comment:\n%1","Δεν είναι δυνατή η αποθήκευση σχολίου: \ n%1"
"View","View"
"SKU","SKU"
"Ordered","Σε παραγγελία"
"In Stock","Σε απόθεμα"
"Comment Text","Κείμενο σχολίου"
"Customer","Πελάτης"
"Notified","Ειδοποιήθηκε"
"Not Notified","Δεν ειδοποιήθηκε"
"Payment &amp; Shipping Method","Πληρωμή & amp; Μέθοδος αποστολής"
"Payment Information","Πληροφορίες Πληρωμής"
"The order was placed using %1.","Η παραγγελία πραγματοποιήθηκε χρησιμοποιώντας %1."
"Shipping Information","Πληροφορίες αποστολής"
"The order was placed on shopflix and will shipped by the shopflix","Η παραγγελία έγινε στην αγορά και θα σταλεί από την αγορά"
"%1","%1"
"Product","Προϊόν"
"Price","Τιμή"
"Qty","Ποσότητα"
"Discount Amount","Ποσό έκπτωσης"
"Row Total","Σύνολο σειράς"
"Order Total","Σύνολο παραγγελίας"
"Rejection Reason","Αιτία Απόρριψης"
"Select Reason For Rejection","Επιλέξτε Αιτία Απόρριψης"
"Out of stock at the store or at the supplier","Εκτός αποθέματος στο κατάστημα ή στον προμηθευτή"
"Incorrectly entered value (s)","Λάθος εισαγόμενες τιμές"
"Limited pieces","Περιορισμένα κομμάτια"
"The product has been removed","Το προϊόν έχει αφαιρεθεί"
"Other","Άλλος"
"Reject Totals","Απόρριψη Ολικών"
"Status","Κατάσταση"
"Comment","Σχόλιο"
"Order & Account Information","Πληροφορίες παραγγελίας & λογαριασμού"
"Order # %1","Παραγγελία # %1"
"Order Date","Ημερομηνία παραγγελίας"
"Order Date (%1)","Ημερομηνία παραγγελίας (%1)"
"Order Status","Κατάσταση παραγγελίας"
"Link to Magento Order","Σύνδεσμος για την παραγγελία Magento"
"Placed from IP","Τοποθετείται από IP"
"%1 / %2 rate:","Ποσοστό %1 / %2:"
"Account Information","Πληροφορίες λογαριασμού"
"Edit Customer","Επεξεργασία πελάτη"
"Customer Name","Όνομα πελάτη"
"Address Information","πληροφορίες διεύθυνσης"
"Billing Address","διεύθυνση χρέωσης"
"Shipping Address","Διεύθυνση αποστολής"
"Notes for this Order","Σημειώσεις για αυτήν την παραγγελία"
"Comment added","Το σχόλιο προστέθηκε"
"Shipping &amp; Handling Information","Αποστολή & amp; Πληροφορίες χειρισμού"
"Items Ordered","Παραγγελία αντικειμένων"
"Order Totals","Παραγγελία Σύνολα"
"Are you sure you want to reject this order?","Είστε βέβαιοι ότι θέλετε να απορρίψετε αυτήν την παραγγελία;"
"Are you sure you want to accept this shopflix order?","Είστε βέβαιοι ότι θέλετε να αποδεχτείτε αυτήν την παραγγελία αγοράς;"
"Are you sure you want to change the status to Ready to be shipped this shopflix order?","Είστε βέβαιοι ότι θέλετε να αλλάξετε την κατάσταση σε Έτοιμο για αποστολή αυτής της παραγγελίας στην αγορά;"
"SHOPFLIX Sales","Πωλήσεις Shopflix"
"SHOPFLIX Operations","Λειτουργίες Αγοράς"
"Actions","Ενέργειες"
"Cancel","Ματαίωση"
"General Settings Section","Ενότητα Γενικές ρυθμίσεις"
"Xml Settings Section","Ενότητα Ρυθμίσεις Xml"
"SHOPFLIX Shipping Settings","Ρυθμίσεις αποστολής Shopflix"
"SHOPFLIX Payment Settings","Ρυθμίσεις πληρωμής Shopflix"
"General","Γενικός"
"Enabled","Ενεργοποιημένο"
"Convert to magento order","Μετατροπή σε παραγγελία magento"
